     2093	2022-07-29 16:37:46	1	0	1	0
     2032	2022-07-29 16:41:49	1	0	4	0
      189	2022-07-29 16:42:14	1	0	1	0
      345	2022-07-29 16:43:22	1	0	4	0
      345	2022-07-29 16:44:18	1	0	4	0
      319	2022-07-29 16:49:53	1	0	4	0
      400	2022-07-29 16:50:02	1	0	1	0
      141	2022-07-29 16:50:25	1	0	1	0
        3	2022-07-29 16:56:54	1	0	1	0
     2006	2022-07-29 16:59:42	1	0	4	0
      141	2022-07-29 17:00:12	1	0	1	0
     2006	2022-07-29 17:00:35	1	0	4	0
      351	2022-07-29 17:04:37	1	0	1	0
      351	2022-07-29 17:05:22	1	0	1	0
      351	2022-07-29 17:15:05	1	0	1	0
        3	2022-07-29 17:17:44	1	0	1	0
      351	2022-07-29 17:19:18	1	0	1	0
      325	2022-07-29 17:29:35	1	0	1	0
     2006	2022-07-29 17:29:58	1	0	4	0
     2032	2022-07-29 17:30:38	1	0	4	0
      351	2022-07-29 17:31:40	1	0	1	0
      155	2022-07-29 17:34:06	1	0	1	0
      155	2022-07-29 17:37:05	1	0	1	0
      191	2022-07-29 17:38:22	1	0	1	0
      270	2022-07-29 17:40:22	1	0	1	0
     2006	2022-07-29 17:41:34	1	0	4	0
     2006	2022-07-29 17:42:07	1	0	4	0
      436	2022-07-29 17:43:28	1	0	1	0
      436	2022-07-29 17:47:08	1	0	1	0
      201	2022-07-29 17:47:24	1	0	1	0
      270	2022-07-29 17:49:03	1	0	1	0
      334	2022-07-29 17:50:33	1	0	1	0
      334	2022-07-29 17:51:33	1	0	1	0
      436	2022-07-29 17:56:03	1	0	1	0
      141	2022-07-29 17:57:15	1	0	1	0
      436	2022-07-29 17:59:26	1	0	1	0
      345	2022-07-29 18:01:09	1	0	4	0
      433	2022-07-29 18:01:33	1	0	1	0
      410	2022-07-29 18:01:59	1	0	1	0
      231	2022-07-29 18:04:52	1	0	4	0
      273	2022-07-29 18:05:21	1	0	1	0
      243	2022-07-29 18:07:00	1	0	1	0
     2006	2022-07-29 18:08:06	1	0	4	0
      343	2022-07-29 18:08:40	1	0	4	0
     2014	2022-07-29 18:09:04	1	0	4	0
       65	2022-07-29 18:09:18	1	0	1	0
      325	2022-07-29 18:10:02	1	0	1	0
     2006	2022-07-29 18:10:43	1	0	4	0
     2006	2022-07-29 18:12:22	1	0	4	0
      351	2022-07-29 18:12:57	1	0	1	0
      209	2022-07-29 18:15:24	1	0	1	0
      351	2022-07-29 18:19:35	1	0	1	0
       65	2022-07-29 18:19:57	1	0	1	0
      377	2022-07-29 18:20:42	1	0	4	0
      331	2022-07-29 18:23:13	1	0	1	0
      259	2022-07-29 18:23:38	1	0	1	0
      159	2022-07-29 18:25:50	1	0	1	0
      229	2022-07-29 18:28:34	1	0	1	0
      436	2022-07-29 18:29:53	1	0	1	0
      433	2022-07-29 18:30:04	1	0	1	0
      343	2022-07-29 18:30:35	1	0	4	0
      436	2022-07-29 18:34:11	1	0	1	0
      319	2022-07-29 18:36:45	1	0	4	0
      201	2022-07-29 18:41:35	1	0	1	0
      436	2022-07-29 18:42:44	1	0	1	0
     2006	2022-07-29 18:43:06	1	0	4	0
     2006	2022-07-29 18:43:46	1	0	4	0
      345	2022-07-29 18:45:18	1	0	4	0
      336	2022-07-29 18:46:36	1	0	4	0
      351	2022-07-29 18:47:52	1	0	1	0
      229	2022-07-29 18:49:53	1	0	1	0
        3	2022-07-29 18:51:00	1	0	1	0
      273	2022-07-29 18:53:35	1	0	1	0
       85	2022-07-29 18:54:51	1	0	1	0
     2014	2022-07-29 18:57:27	1	0	4	0
     2014	2022-07-29 18:57:53	1	0	4	0
       65	2022-07-29 19:00:05	1	0	1	0
      334	2022-07-29 19:03:45	1	0	1	0
      410	2022-07-29 19:04:02	1	0	1	0
      412	2022-07-29 19:04:06	1	0	1	0
      334	2022-07-29 19:05:11	1	0	1	0
      273	2022-07-29 19:07:32	1	0	1	0
      270	2022-07-29 19:11:28	1	0	1	0
      385	2022-07-29 19:15:30	1	0	4	0
      351	2022-07-29 19:16:41	1	0	1	0
      351	2022-07-29 19:17:23	1	0	1	0
      141	2022-07-29 19:17:59	1	0	1	0
      231	2022-07-29 19:21:50	1	0	1	0
      402	2022-07-29 19:24:09	1	0	1	0
